弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
云吃一口,4分3秒,2023--04--10 20:50:56,普通弹幕,25,f7166cfd
终于见证到翻车这一步了,2分37秒,2023--04--10 20:49:16,普通弹幕,25,f7166cfd
你在点我？,2分29秒,2023--04--10 20:48:52,普通弹幕,25,f7166cfd
我的滑板鞋时尚时尚最时尚,2分20秒,2023--04--10 20:48:25,普通弹幕,25,f7166cfd
到这一步，竟然没有翻车,1分8秒,2023--04--10 20:46:47,普通弹幕,25,f7166cfd
D uang duang好像果冻,0分24秒,2023--04--10 20:45:51,普通弹幕,25,f7166cfd
888,0分21秒,2023--04--10 20:42:51,普通弹幕,25,d2f556a4
8888888,0分55秒,2023--04--10 20:42:01,普通弹幕,25,6cd637c2
888888,0分40秒,2023--04--10 20:41:34,顶部弹幕,25,4c6f28bd
888888,0分15秒,2023--04--10 20:38:24,普通弹幕,25,f20aedbe
88888,0分18秒,2023--04--10 20:35:30,普通弹幕,25,3fe5183d
这能熟吗,0分26秒,2023--04--10 20:34:36,普通弹幕,25,6c40588d
！！！！！！,5分2秒,2023--04--10 20:24:55,普通弹幕,25,235dd317
888888,0分31秒,2023--04--10 20:24:34,普通弹幕,25,df6301f9
8888888,0分21秒,2023--04--10 20:24:23,普通弹幕,25,df6301f9
88888,0分19秒,2023--04--10 20:23:04,普通弹幕,25,418d698
8,0分17秒,2023--04--10 20:23:00,普通弹幕,25,418d698
888888,0分19秒,2023--04--10 20:21:45,普通弹幕,25,d918c511
！！！蛋挞人狂喜！！！,0分4秒,2023--04--10 20:20:23,普通弹幕,25,235dd317
888888,0分45秒,2023--04--10 20:19:07,普通弹幕,25,eaf412c9
88888888,0分26秒,2023--04--10 20:18:20,普通弹幕,25,c28c2902
888888,0分34秒,2023--04--10 20:01:36,普通弹幕,25,8cba81b2
8888888,0分19秒,2023--04--10 19:58:35,普通弹幕,25,fd58aef4
888888,0分56秒,2023--04--10 19:58:23,普通弹幕,25,7247ffb1
没错，每次都挖着吃星人表示可以去大姨家啃这些残次品,4分29秒,2023--04--10 19:57:14,普通弹幕,25,bb380a15
中间真的能熟吗,0分11秒,2023--04--10 19:40:49,普通弹幕,25,d200c353
下次一定,5分28秒,2023--04--10 19:40:30,普通弹幕,25,320c4b93
8,0分44秒,2023--04--10 19:37:37,普通弹幕,25,bd5b18bc
888888,0分40秒,2023--04--10 19:33:59,普通弹幕,25,851cde51
888888,0分15秒,2023--04--10 19:29:58,普通弹幕,25,821c50cd
刚刚那个黄油看起来好像土豆片_(:з」∠)_,0分53秒,2023--04--10 19:28:49,普通弹幕,25,b2b3ddfb
888888,0分33秒,2023--04--10 19:27:57,普通弹幕,25,b2b3ddfb
888888,0分58秒,2023--04--10 19:19:37,普通弹幕,25,4f56dccc
88888,0分29秒,2023--04--10 19:15:42,普通弹幕,25,5dead7cf
8,0分20秒,2023--04--10 19:07:16,普通弹幕,25,da9bdda0
888888,0分22秒,2023--04--10 19:06:52,普通弹幕,25,2039289d
8,0分22秒,2023--04--10 19:06:42,普通弹幕,25,2039289d
接片尾身体健康！！！,0分10秒,2023--04--10 19:04:32,普通弹幕,25,3be80794
888888,0分32秒,2023--04--10 18:58:06,普通弹幕,25,9e07f3
888888,0分18秒,2023--04--10 18:45:10,普通弹幕,25,47211bc3
888888,0分40秒,2023--04--10 18:38:26,普通弹幕,25,ac31fb14
88888,0分19秒,2023--04--10 18:33:54,普通弹幕,25,6186c178
8,0分22秒,2023--04--10 18:33:26,普通弹幕,25,e3f27dff
阿姨压一压,5分19秒,2023--04--10 18:33:11,普通弹幕,25,6b1498a5
没切边吧,2分14秒,2023--04--10 18:32:50,普通弹幕,25,7e4a6c9d
888888,1分11秒,2023--04--10 18:27:46,普通弹幕,25,6a6ca050
885人出来吧！,3分9秒,2023--04--10 18:19:52,普通弹幕,25,28ea2960
888888,0分42秒,2023--04--10 18:14:58,普通弹幕,25,ffa3607d
888888,0分43秒,2023--04--10 18:13:34,普通弹幕,25,534a3d5b
888888,0分32秒,2023--04--10 18:09:10,普通弹幕,25,ab9971f6
888888,0分42秒,2023--04--10 18:08:37,普通弹幕,25,7ed2c8d
888888,0分22秒,2023--04--10 17:54:13,普通弹幕,25,541ce6cf
8,0分14秒,2023--04--10 17:44:42,普通弹幕,25,5cc77fef
888888,0分11秒,2023--04--10 17:44:34,普通弹幕,25,5cc77fef
腻,0分11秒,2023--04--10 17:40:33,普通弹幕,25,eb91befd
888888,0分19秒,2023--04--10 17:39:34,普通弹幕,25,73326e5a
888888,0分42秒,2023--04--10 17:32:32,普通弹幕,25,6621c342
8,0分28秒,2023--04--10 17:32:18,普通弹幕,25,6621c342
888888,0分19秒,2023--04--10 17:32:08,普通弹幕,25,6621c342
888888,0分14秒,2023--04--10 17:25:35,普通弹幕,25,e488c2ef
旋转小曲,1分3秒,2023--04--10 17:21:02,普通弹幕,25,a0b7081c
6,0分48秒,2023--04--10 17:20:05,普通弹幕,25,a0b7081c
淡奶油对的！,3分30秒,2023--04--10 17:14:40,普通弹幕,25,b4fc56c0
