弹幕内容,发送位置,发送时间,弹幕类型,弹幕字体大小,发送者id
体力不支,1分27秒,2023--04--07 22:10:54,顶部弹幕,25,ce175ab9
一睹芳容,1分9秒,2023--04--07 22:07:18,顶部弹幕,25,ce175ab9
请选择你的英雄,0分0秒,2023--04--07 22:05:45,顶部弹幕,25,ce175ab9
物业敲门,1分21秒,2023--04--07 22:05:13,顶部弹幕,25,ce175ab9
关公单刀赴会,0分56秒,2023--04--07 22:04:36,顶部弹幕,25,ce175ab9
顶级厨尸,0分34秒,2023--04--07 22:03:49,顶部弹幕,25,ce175ab9
恐龙妈妈提笔忘字,0分15秒,2023--04--07 22:03:03,顶部弹幕,25,ce175ab9
惊人的播放量,0分2秒,2023--04--07 21:55:10,普通弹幕,25,8ffaca50
物业敲门,1分22秒,2023--04--07 21:11:06,顶部弹幕,25,722fb1cc
豆瓣评分:10分,0分37秒,2023--04--07 20:59:41,普通弹幕,25,3dd23832
都23年了，现在还50＋,1分24秒,2023--04--07 20:59:13,普通弹幕,25,1901a104
原来电摇早就有了,0分5秒,2023--04--07 20:29:15,普通弹幕,25,a9f39302
新番《就算你的脸再模糊，我也认得出你是谁》,0分0秒,2023--04--07 20:07:58,普通弹幕,25,772def6e
有点晕乎。,1分4秒,2023--04--07 20:00:35,普通弹幕,25,d73097d7
牛奶咖喱土豆豌豆梨西瓜咸蛋,0分25秒,2023--04--07 17:36:56,普通弹幕,18,15cdf806
你也要土豆，七毛钱一袋呦,0分37秒,2023--04--07 16:09:10,顶部弹幕,25,8c2c5bd5
龙卷风吹毁停车场,1分4秒,2023--04--07 09:34:12,普通弹幕,25,60f6f7b9
一天不看浑身难受，看了一遍难受一天,0分48秒,2023--04--06 22:51:35,普通弹幕,25,962afb87
狗     熊     打     人,1分20秒,2023--04--06 22:17:48,顶部弹幕,25,f1c2fbd9
牛奶，咖喱，土豆，豌豆，梨，西瓜，咸蛋,0分26秒,2023--04--06 21:41:17,顶部弹幕,25,95e24d5e
张大仙,0分33秒,2023--04--06 14:04:19,普通弹幕,25,d43f62ce
选择你的女仆,0分0秒,2023--04--06 11:16:42,顶部弹幕,25,5ffe6f64
一  睹  芳  容,1分8秒,2023--04--06 10:55:32,顶部弹幕,25,cbe4adab
请选择你的英雄,0分6秒,2023--04--06 10:53:56,顶部弹幕,25,cbe4adab
叮咛叮咛叮咛,0分42秒,2023--04--06 10:45:07,普通弹幕,25,15d76642
1,0分8秒,2023--04--06 05:01:15,普通弹幕,25,fb3b1192
